model,day,realized_pepper_pnl,ideal_hold_pnl_80,drift_capture_ratio,avg_position,avg_position_early,avg_position_mid,avg_position_late,gap_to_ideal_early,gap_to_ideal_mid,gap_to_ideal_late,sell_qty_early,sell_qty_mid,sell_qty_late,lost_upside_early,lost_upside_mid,lost_upside_late,frac_below_60_early,frac_below_60_mid,frac_below_60_late,frac_below_70_early,frac_below_70_mid,frac_below_70_late,frac_below_80_early,frac_below_80_mid,frac_below_80_late,sell_count,sold_qty,buy_count,buy_qty,turnover_qty,aggressive_fill_share
model_E_plus_1,0,67398.0,80120.0,0.8412131802296555,68.6227076861409,71.74240144447788,74.49518941671678,59.64414414414414,8.257598555522122,5.504810583283216,20.355855855855857,263.0,360.0,812.0,217375.0,179697.0,116598.0,0.06740896780018056,0.01803968731208659,0.45855855855855854,0.3581101414384592,0.2312086590499098,0.8051051051051051,0.7102016250376166,0.6181599518941672,0.9801801801801802,218,1435.0,265.0,1500.0,2935.0,0.7598343685300207
model_E_plus_1,TOTAL,209212.5,240320.0,0.8705580059920106,71.41885393708675,75.09982960809863,75.8426009417894,63.32128554265118,4.900170391901369,4.157399058210601,16.678714457348818,665.0,962.0,2404.0,544371.5,478678.5,336792.0,0.03688483512077779,0.01673179040176335,0.3759511413696436,0.17680665530720657,0.14457469191463782,0.6237484981978374,0.48992683171293977,0.5179841699228535,0.8467160592711254,617,4031.0,,,8247.0,0.7603857566765578
model_E_plus_2,-2,74019.5,80240.0,0.9224763210368894,74.23297275641026,77.0733173076923,77.19266606552449,68.43556623610694,2.9266826923076934,2.8073339344755084,11.564433763893064,193.0,225.0,701.0,155977.5,110944.5,89845.5,0.01953125,0.013225127742711151,0.21387804145389006,0.09915865384615384,0.06642620979861737,0.4562931811354761,0.3272235576923077,0.401863540727382,0.7167317512766597,179,1119.0,208.0,1196.0,2315.0,0.7235142118863049
model_E_plus_2,-1,67587.0,79960.0,0.8452601300650325,71.16888710808374,76.4795550210463,75.83954326923077,61.193751877440675,3.520444978953705,4.160456730769226,18.806248122559325,209.0,377.0,918.0,171019.0,188037.0,136971.0,0.023752254960914012,0.01893028846153846,0.4728146590567738,0.07336139506915214,0.13611778846153846,0.6164013217182337,0.4326518340348767,0.5339543269230769,0.8480024031240613,223,1504.0,261.0,1547.0,3051.0,0.7892561983471075
model_E_plus_2,0,67398.0,80120.0,0.8412131802296555,68.6227076861409,71.74240144447788,74.49518941671678,59.64414414414414,8.257598555522122,5.504810583283216,20.355855855855857,263.0,360.0,812.0,217375.0,179697.0,116598.0,0.06740896780018056,0.01803968731208659,0.45855855855855854,0.3581101414384592,0.2312086590499098,0.8051051051051051,0.7102016250376166,0.6181599518941672,0.9801801801801802,218,1435.0,265.0,1500.0,2935.0,0.7598343685300207
model_E_plus_2,TOTAL,209004.5,240320.0,0.8696924933422104,71.34198223468911,75.09982960809863,75.8426009417894,63.09080897076492,4.900170391901369,4.157399058210601,16.90919102923508,665.0,962.0,2431.0,544371.5,478678.5,343414.5,0.03688483512077779,0.01673179040176335,0.381758109731678,0.17680665530720657,0.14457469191463782,0.6259511413696436,0.48992683171293977,0.5179841699228535,0.8483179815778935,620,4058.0,,,8301.0,0.759970457902511
model_E_plus_3,-2,74994.0,80240.0,0.9346211365902293,74.5030048076923,77.0733173076923,77.19266606552449,69.24541904475818,2.9266826923076934,2.8073339344755084,10.75458095524182,193.0,225.0,609.0,155977.5,110944.5,80541.5,0.01953125,0.013225127742711151,0.21087413637729047,0.09915865384615384,0.06642620979861737,0.43586662661459896,0.3272235576923077,0.401863540727382,0.706518474016221,166,1027.0,200.0,1105.0,2132.0,0.7103825136612022
model_E_plus_3,-1,69313.0,79960.0,0.8668459229614808,71.91405389161575,76.4795550210463,75.83954326923077,63.4283568639231,3.520444978953705,4.160456730769226,16.5716431360769,209.0,377.0,798.0,171019.0,188037.0,120791.0,0.023752254960914012,0.01893028846153846,0.37969360168218685,0.07336139506915214,0.13611778846153846,0.5662361069390207,0.4326518340348767,0.5339543269230769,0.8164613998197657,210,1384.0,249.0,1428.0,2812.0,0.7864923747276689
model_E_plus_3,0,68822.0,80120.0,0.8589865202196705,69.3869125162842,71.74240144447788,74.49518941671678,61.93423423423423,8.257598555522122,5.504810583283216,18.065765765765768,263.0,360.0,725.0,217375.0,179697.0,108734.0,0.06740896780018056,0.01803968731208659,0.35825825825825824,0.3581101414384592,0.2312086590499098,0.7054054054054054,0.7102016250376166,0.6181599518941672,0.9078078078078078,209,1348.0,257.0,1415.0,2763.0,0.7489270386266095
model_E_plus_3,TOTAL,213129.0,240320.0,0.8868550266311584,71.93508314966941,75.09982960809863,75.8426009417894,64.86904285142171,4.900170391901369,4.157399058210601,15.13095714857829,665.0,962.0,2132.0,544371.5,478678.5,310066.5,0.03688483512077779,0.01673179040176335,0.316279535442531,0.17680665530720657,0.14457469191463782,0.5691830196235482,0.48992683171293977,0.5179841699228535,0.8102723267921506,585,3759.0,,,7707.0,0.7513555383423702
