model,round,round_label,scenario,day,product,day_pnl,avg_position,avg_abs_position,max_abs_position,pct_abs_ge_60,pct_abs_ge_70,pct_at_limit
model_F3,round_1,Round 1,baseline,-1,ASH_COATED_OSMIUM,22204.5,5.187418611639788,21.86577181208054,64.0,0.003806471000701192,0.0,0.0
model_F3,round_1,Round 1,baseline,0,ASH_COATED_OSMIUM,20842.0,13.461045463649109,31.596635289405167,74.0,0.036050470658922494,0.002002803925495694,0.0
model_F3,round_1,Round 1,baseline,-2,INTARIAN_PEPPER_ROOT,80528.0,77.71163862179488,77.71163862179488,80.0,0.987479967948718,0.9444110576923077,0.6650641025641025
model_F3,round_1,Round 1,baseline,-1,INTARIAN_PEPPER_ROOT,79788.0,76.5044575778824,76.5044575778824,80.0,0.9828708804968447,0.9067414604828208,0.5296003205449263
model_F3,round_1,Round 1,baseline,0,INTARIAN_PEPPER_ROOT,79828.0,75.70407856498647,75.70407856498647,80.0,0.983665697965728,0.8479807595951498,0.48922737749273476
model_F3,round_1,Round 1,baseline,-2,TOTAL,100629.5,,,,,,
model_F3,round_1,Round 1,baseline,-1,TOTAL,101992.5,,,,,,
model_F3,round_1,Round 1,baseline,0,TOTAL,100670.0,,,,,,
model_F3,round_2,Round 2,baseline,-1,ASH_COATED_OSMIUM,22612.0,18.429444166249375,21.801702553830747,61.0,0.0012018027040560841,0.0,0.0
model_F3,round_2,Round 2,baseline,0,ASH_COATED_OSMIUM,22918.0,10.533653846153847,27.11318108974359,80.0,0.04657451923076923,0.02283653846153846,0.0028044871794871795
model_F3,round_2,Round 2,baseline,1,ASH_COATED_OSMIUM,22476.0,13.877630787733013,19.14762477450391,64.0,0.00220485067147725,0.0,0.0
model_F3,round_2,Round 2,baseline,-1,INTARIAN_PEPPER_ROOT,77661.5,74.81195554220487,74.81195554220487,80.0,0.9446280164213477,0.8299789726644639,0.46610593771903475
model_F3,round_2,Round 2,baseline,0,INTARIAN_PEPPER_ROOT,78370.5,74.59336806251252,74.59336806251252,80.0,0.974954918853937,0.7620717291124023,0.43919054297735927
model_F3,round_2,Round 2,baseline,1,INTARIAN_PEPPER_ROOT,79464.0,74.15805288461539,74.15805288461539,80.0,0.9559294871794872,0.7928685897435898,0.37680288461538464
model_F3,round_2,Round 2,baseline,-1,TOTAL,100273.5,,,,,,
model_F3,round_2,Round 2,baseline,0,TOTAL,101288.5,,,,,,
model_F3,round_2,Round 2,baseline,1,TOTAL,101940.0,,,,,,
