model,round,round_label,scenario,product,total_pnl,max_drawdown,fill_count,maker_share,aggressive_fill_share,avg_fill_size,avg_abs_position,max_abs_position,pct_abs_ge_60,pct_abs_ge_70,pct_at_limit,daily_mean_pnl,daily_std_pnl,min_day_pnl
model_G2,round_2,Round 2,maf_uniform_125,TOTAL,308807.5,-1958.0,3316.0,0.5156815440289505,0.48431845597104944,6.036489746682751,,,,,,102935.83333333333,767.7534326418432,102394.5
model_F3,round_2,Round 2,maf_uniform_125,ASH_COATED_OSMIUM,69937.0,-1294.0,2249.0,0.5984882169853268,0.40151178301467316,6.08092485549133,24.21861956122483,80.0,0.021705012188199153,0.008581827895949511,0.003906902193875847,23312.333333333332,36.35014901390823,23283.0
model_F3,round_2,Round 2,maf_uniform_125,INTARIAN_PEPPER_ROOT,237928.5,-1680.0,937.0,0.29882604055496265,0.7011739594450374,5.87940234791889,74.45083964878309,80.0,0.9584348813140587,0.8084332120321838,0.44836911160818615,79309.5,959.5691741609877,78300.5
model_F3,round_2,Round 2,maf_uniform_125,TOTAL,307865.5,-1958.0,3186.0,0.5103578154425612,0.4896421845574388,6.02165725047081,,,,,,102621.83333333333,931.494677028985,101653.5
model_kiko,round_2,Round 2,maf_front_125,ASH_COATED_OSMIUM,70480.0,-1845.0,2022.0,0.6632047477744807,0.3367952522255193,6.727992087042532,29.15961532039937,80.0,0.12218252245633954,0.06708518382475707,0.02117073496510502,23493.333333333332,500.9334619820614,22919.0
model_kiko,round_2,Round 2,maf_front_125,INTARIAN_PEPPER_ROOT,243904.0,-1680.0,1493.0,0.3811118553248493,0.6188881446751507,6.8292029470864035,70.64724735418822,80.0,0.8509998998430875,0.63706473475111,0.29786665776383,81301.33333333333,186.5323921825197,81148.0
model_kiko,round_2,Round 2,maf_front_125,TOTAL,314384.0,-1982.0,3515.0,0.5433854907539118,0.4566145092460882,6.770981507823613,,,,,,104794.66666666667,658.3421096461424,104067.0
model_G5,round_2,Round 2,maf_front_125,ASH_COATED_OSMIUM,71676.0,-1377.0,2243.0,0.5987516718680339,0.4012483281319661,6.564422648238966,25.39319464387084,80.0,0.026179583931612516,0.010017697933014992,0.004274217784753064,23892.0,190.8900206925443,23682.0
model_G5,round_2,Round 2,maf_front_125,INTARIAN_PEPPER_ROOT,240255.0,-1680.0,955.0,0.3518324607329843,0.6481675392670158,5.853403141361256,74.75134377190932,80.0,0.9587353520515475,0.8283310519814376,0.4520081460955497,80085.0,870.028878831042,79194.5
model_G5,round_2,Round 2,maf_front_125,TOTAL,311931.0,-1935.0,3198.0,0.5250156347717323,0.47498436522826765,6.352095059412132,,,,,,103977.0,824.1169516518878,103249.5
model_G1,round_2,Round 2,maf_front_125,ASH_COATED_OSMIUM,71676.0,-1377.0,2243.0,0.5987516718680339,0.4012483281319661,6.564422648238966,25.39319464387084,80.0,0.026179583931612516,0.010017697933014992,0.004274217784753064,23892.0,190.8900206925443,23682.0
model_G1,round_2,Round 2,maf_front_125,INTARIAN_PEPPER_ROOT,240001.0,-1680.0,983.0,0.3326551373346897,0.6673448626653102,6.1241098677517805,74.22017827930425,80.0,0.9562648148766401,0.7958802123326545,0.42486562280906753,80000.33333333333,857.541592771647,79185.5
model_G1,round_2,Round 2,maf_front_125,TOTAL,311677.0,-1935.0,3226.0,0.5176689398636082,0.4823310601363918,6.430254184748915,,,,,,103892.33333333333,835.3520714844329,103240.5
model_G4,round_2,Round 2,maf_front_125,ASH_COATED_OSMIUM,71676.0,-1377.0,2243.0,0.5987516718680339,0.4012483281319661,6.564422648238966,25.39319464387084,80.0,0.026179583931612516,0.010017697933014992,0.004274217784753064,23892.0,190.8900206925443,23682.0
model_G4,round_2,Round 2,maf_front_125,INTARIAN_PEPPER_ROOT,239889.0,-1680.0,1008.0,0.34325396825396826,0.6567460317460317,6.176587301587301,73.86308550061763,80.0,0.9542282909892165,0.7683036757586886,0.41034287049711216,79963.0,551.5605134525132,79448.0
model_G4,round_2,Round 2,maf_front_125,TOTAL,311565.0,-1935.0,3251.0,0.5195324515533682,0.4804675484466318,6.444171024300215,,,,,,103855.0,546.0192304305774,103503.0
model_G2,round_2,Round 2,maf_front_125,ASH_COATED_OSMIUM,71676.0,-1377.0,2243.0,0.5987516718680339,0.4012483281319661,6.564422648238966,25.39319464387084,80.0,0.026179583931612516,0.010017697933014992,0.004274217784753064,23892.0,190.8900206925443,23682.0
model_G2,round_2,Round 2,maf_front_125,INTARIAN_PEPPER_ROOT,239795.0,-1680.0,1072.0,0.3414179104477612,0.6585820895522388,6.30410447761194,73.05745668213534,80.0,0.9349981637899376,0.727039027810236,0.3712482889860782,79931.66666666667,711.6787079387252,79300.5
model_G2,round_2,Round 2,maf_front_125,TOTAL,311471.0,-1935.0,3315.0,0.5155354449472096,0.48446455505279035,6.480241327300151,,,,,,103823.66666666667,711.1491287580499,103355.5
model_F3,round_2,Round 2,maf_front_125,ASH_COATED_OSMIUM,71676.0,-1377.0,2243.0,0.5987516718680339,0.4012483281319661,6.564422648238966,25.39319464387084,80.0,0.026179583931612516,0.010017697933014992,0.004274217784753064,23892.0,190.8900206925443,23682.0
model_F3,round_2,Round 2,maf_front_125,INTARIAN_PEPPER_ROOT,238601.0,-1680.0,905.0,0.2839779005524862,0.7160220994475138,6.313812154696133,74.40112843454746,80.0,0.9531265649517577,0.7919407071078022,0.455012853470437,79533.66666666667,1024.771356612456,78418.0
model_F3,round_2,Round 2,maf_front_125,TOTAL,310277.0,-1935.0,3148.0,0.5082592121982211,0.49174078780177893,6.492376111817027,,,,,,103425.66666666667,949.515841538904,102473.0
model_kiko,round_2,Round 2,maf_depth_trade_125,ASH_COATED_OSMIUM,82156.0,-1610.0,2022.0,0.6636993076162215,0.3363006923837784,7.069238377843719,28.82342137776739,80.0,0.12368517714629178,0.0638127358333055,0.021671619861755767,27385.333333333332,630.4540691702556,26677.0
model_kiko,round_2,Round 2,maf_depth_trade_125,INTARIAN_PEPPER_ROOT,247060.5,-1680.0,1508.0,0.3839522546419098,0.6160477453580901,6.803050397877984,70.23790605281607,80.0,0.8458251260307815,0.6245117350515809,0.2846793309518245,82353.5,141.09571219565817,82191.5
model_kiko,round_2,Round 2,maf_depth_trade_125,TOTAL,329216.5,-1926.0,3530.0,0.5441926345609065,0.4558073654390935,6.955524079320114,,,,,,109738.83333333333,590.3849026976667,109126.5
model_G5,round_2,Round 2,maf_depth_trade_125,ASH_COATED_OSMIUM,83204.0,-1294.0,2264.0,0.5949646643109541,0.40503533568904593,6.764575971731449,24.014659231308645,80.0,0.021237519617991786,0.008247904631515677,0.0028383477476875813,27734.666666666668,199.6555366959137,27545.0
model_G5,round_2,Round 2,maf_depth_trade_125,INTARIAN_PEPPER_ROOT,242501.5,-1680.0,962.0,0.35343035343035345,0.6465696465696466,5.949064449064449,75.02190097819918,80.0,0.9691516709511568,0.8615497612926919,0.46102226822021164,80833.83333333333,926.3543238595765,80065.5
model_G5,round_2,Round 2,maf_depth_trade_125,TOTAL,325705.5,-1962.5,3226.0,0.522938623682579,0.47706137631742096,6.5213887166769995,,,,,,108568.5,876.4131445842195,108008.5
model_G1,round_2,Round 2,maf_depth_trade_125,ASH_COATED_OSMIUM,83204.0,-1294.0,2264.0,0.5949646643109541,0.40503533568904593,6.764575971731449,24.014659231308645,80.0,0.021237519617991786,0.008247904631515677,0.0028383477476875813,27734.666666666668,199.6555366959137,27545.0
