v,mean_pnl,std_pnl,p10,p25,p50,p75,p90,mean_multiplier,std_multiplier,p10_multiplier,p90_multiplier,mean_rank,p10_rank,p90_rank,expected_regret,p90_regret,prob_best_response,label,group
49,184806.54822484904,12638.23676900333,169157.34774285075,179090.82526094033,184057.5640199851,193991.04153807467,198957.78029711943,0.7718497959183673,0.0415440733858158,0.7204081632653061,0.8183673469387756,8.8492,6.0,12.0,22022.243943260342,33560.971459300665,0.0006,Just-above weight = 20%,just_above_weight
50,181673.16344541925,11867.97269147288,168226.08422552986,173062.11933302085,182734.18954800276,187570.22465549377,197242.2948704757,0.7821322448979592,0.04006646253508001,0.736734693877551,0.8346938775510204,8.2194,5.0,11.0,25155.628722690122,37496.91327676008,0.0016,Just-above weight = 20%,just_above_weight
51,179252.218129879,11080.860530536953,166562.88025950783,171738.74486103855,181149.40777291288,185854.73922885003,195265.40214072433,0.7954579591836735,0.03844830281478984,0.751428571428572,0.8510204081632653,7.4032,4.0,10.100000000000364,27576.574038230385,41392.82750771311,0.0028,Just-above weight = 20%,just_above_weight
52,173868.56086310788,10602.341204085285,161004.70747718192,165579.33528156526,174728.59089033198,179303.2186947153,188452.47430348198,0.7989714285714287,0.03783902333302445,0.753061224489796,0.8510204081632653,7.188,4.0,10.0,32960.2313050015,47039.74210346286,0.0,Just-above weight = 20%,just_above_weight
53,168492.63155671358,10174.358254791754,155079.43605145544,163971.76932197926,168417.93595724116,177310.26922776498,181756.43586302688,0.8023151020408164,0.037360716575351456,0.753061224489796,0.8510204081632653,6.9832,4.0,10.0,38336.160611395826,52478.16315550103,0.0,Just-above weight = 20%,just_above_weight
54,163105.173334767,9738.147634063995,149220.02359284242,157858.29019849413,162177.42350131998,170815.69010697168,175134.82340979754,0.8055477551020409,0.036810664155719514,0.753061224489796,0.8510204081632653,6.7852,4.0,10.0,43723.61883334241,57908.996182961535,0.0,Just-above weight = 20%,just_above_weight
55,157681.66305307506,9289.619339971605,147552.7111046192,151744.811075009,160129.01101578862,164321.1109861784,168513.2109565682,0.8088359183673469,0.036179302879565174,0.7693877551020408,0.8510204081632653,6.5838,4.0,9.0,49147.12911503434,63934.65170401649,0.0,Just-above weight = 20%,just_above_weight
25,51312.49453218266,18735.83168350689,25848.88193742954,34161.08817714789,50785.50065658454,59097.70689630284,75722.11937573944,0.19899428571428568,0.03680023338027875,0.1489795918367346,0.24693877551020404,43.9366,41.0,47.0,155231.27414699513,182439.8930148888,0.0,Just-above weight = 30%,just_above_weight
26,61030.076104767846,20285.45241149586,32684.577858250545,49017.333978398834,57183.71203847295,73516.46815862118,89849.22427876946,0.22197551020408163,0.0405554405322888,0.16530612244897958,0.2795918367346939,42.529,39.0,46.0,145513.6925744099,173736.55201040755,0.0,Just-above weight = 30%,just_above_weight
27,61001.20212519832,20141.558422605573,39228.61741978316,47249.16730021314,63290.26706107301,71310.81694150296,87351.91670236288,0.2259526530612245,0.04099990338160719,0.18163265306122445,0.2795918367346939,42.2854,39.0,45.0,145542.56655397944,173449.49042921347,0.0,Just-above weight = 30%,just_above_weight
