scenario,scenario_label,day,product,product_label,P1_d,drawdown,fill_count,maker_share,avg_fill_size,avg_abs_position,avg_position,max_abs_position,pct_time_abs_ge_60,pct_time_abs_ge_70,pct_time_at_limit,final_position,time_to_50,time_to_70,time_to_80,pct_time_pos_ge_70,pct_time_pos_at_80,P0_d,drawdown_P0,fill_count_P0,maker_share_P0,avg_fill_size_P0,avg_abs_position_P0,pct_time_abs_ge_70_P0,pct_time_at_limit_P0,time_to_50_P0,time_to_70_P0,time_to_80_P0,Delta_d,drawdown_change,fill_count_change,maker_share_change,avg_fill_size_change,avg_abs_position_change,time_to_70_change,time_to_80_change
front_bias_depth_25,Front-biased depth +25%,1,INTARIAN_PEPPER_ROOT,PEPPER,80221.0,-1680.0,512.0,0.380859375,6.93359375,68.03976362179488,68.03976362179488,80.0,0.7638221153846154,0.5649038461538461,0.28125,74.0,14400.0,17400.0,19900.0,0.5649038461538461,0.28125,79638.0,-1680.0,523.0,0.3881453154875717,5.41491395793499,67.9678485576923,0.5441706730769231,0.22626201923076922,14400.0,19900.0,23100.0,583.0,0.0,-11.0,-0.007285940487571696,1.5186797920650097,0.0719150641025692,-2500.0,-3200.0
front_bias_depth_25,Front-biased depth +25%,1,TOTAL,TOTAL,103368.0,-1720.0,1193.0,0.537300922045264,6.829840737636212,,,,,,,,,,,,,101456.0,-1710.0,1201.0,0.5420482930890924,5.57285595337219,,,,,,,1912.0,-10.0,-8.0,-0.004747371043828386,1.2569847842640218,,,
uniform_depth_trade_125,Depth +25% + trades +25%,-1,ASH_COATED_OSMIUM,ASH,27594.0,-1600.0,669.0,0.6621823617339312,7.043348281016442,39.58587881822734,38.623835753630445,80.0,0.21061592388582875,0.10035052578868302,0.028042063094641963,30.0,,,,,,22167.0,-1620.0,669.0,0.6651718983557549,5.678624813153961,41.55373059589384,0.07080620931397096,0.023535302954431646,,,,5427.0,20.0,0.0,-0.002989536621823663,1.3647234678624809,-1.967851777666496,,
uniform_depth_trade_125,Depth +25% + trades +25%,-1,INTARIAN_PEPPER_ROOT,PEPPER,82191.5,-1360.0,493.0,0.39148073022312374,6.716024340770791,72.03674777210374,72.03674777210374,80.0,0.9226995093621708,0.6881946530489637,0.31891458896565533,79.0,1400.0,5700.0,14400.0,0.6881946530489637,0.31891458896565533,81203.5,-1360.0,500.0,0.39,5.294,73.05387003104035,0.7056173024932412,0.30599779713627717,2700.0,5700.0,12600.0,988.0,0.0,-7.0,0.0014807302231237274,1.4220243407707915,-1.0171222589366096,0.0,1800.0
uniform_depth_trade_125,Depth +25% + trades +25%,-1,TOTAL,TOTAL,109785.5,-1854.0,1162.0,0.5473321858864028,6.90447504302926,,,,,,,,,,,,,103370.5,-1825.5,1169.0,0.5474764756201882,5.514114627887083,,,,,,,6415.0,-28.5,-7.0,-0.00014428973378544097,1.390360415142177,,,
uniform_depth_trade_125,Depth +25% + trades +25%,0,ASH_COATED_OSMIUM,ASH,28159.0,-1600.0,676.0,0.6745562130177515,7.071005917159764,19.766726762820515,12.473657852564102,80.0,0.04366987179487179,0.03195112179487179,0.013621794871794872,22.0,,,,,,22848.0,-1600.0,680.0,0.6735294117647059,5.688235294117647,17.92918669871795,0.028745993589743588,0.009815705128205128,,,,5311.0,0.0,-4.0,0.0010268012530455506,1.3827706230421164,1.8375400641025657,,
uniform_depth_trade_125,Depth +25% + trades +25%,0,INTARIAN_PEPPER_ROOT,PEPPER,81921.0,-1520.0,510.0,0.36666666666666664,6.898039215686275,70.26507713884993,70.26507713884993,80.0,0.8432177920256462,0.6231216189140453,0.2614706471648968,80.0,1000.0,9900.0,12600.0,0.6231216189140453,0.2614706471648968,81022.0,-1520.0,516.0,0.3701550387596899,5.457364341085271,71.38709677419355,0.6471648968142657,0.23802845121218194,1000.0,9900.0,14400.0,899.0,0.0,-6.0,-0.003488372093023273,1.4406748746010036,-1.1220196353436194,0.0,-1800.0
uniform_depth_trade_125,Depth +25% + trades +25%,0,TOTAL,TOTAL,110080.0,-1926.0,1186.0,0.5421585160202361,6.996627318718381,,,,,,,,,,,,,103870.0,-1850.0,1196.0,0.5426421404682275,5.588628762541806,,,,,,,6210.0,-76.0,-10.0,-0.00048362444799132653,1.407998556176575,,,
uniform_depth_trade_125,Depth +25% + trades +25%,1,ASH_COATED_OSMIUM,ASH,26855.0,-1610.0,679.0,0.6568483063328424,7.092783505154639,23.760873922629784,19.1180597314091,80.0,0.07215874924834637,0.04329524954900782,0.01723792343154941,34.0,,,,,,21818.0,-1600.0,678.0,0.6607669616519174,5.6946902654867255,21.625275606333936,0.03788334335538184,0.016536380036079375,,,,5037.0,-10.0,1.0,-0.003918655319074982,1.3980932396679133,2.135598316295848,,
uniform_depth_trade_125,Depth +25% + trades +25%,1,INTARIAN_PEPPER_ROOT,PEPPER,81467.5,-1680.0,516.0,0.38372093023255816,6.932170542635659,67.57301682692308,67.57301682692308,80.0,0.7522035256410257,0.5409655448717948,0.26181891025641024,75.0,14400.0,17400.0,19900.0,0.5409655448717948,0.26181891025641024,79638.0,-1680.0,523.0,0.3881453154875717,5.41491395793499,67.9678485576923,0.5441706730769231,0.22626201923076922,14400.0,19900.0,23100.0,1829.5,0.0,-7.0,-0.004424385255013541,1.517256584700669,-0.3948317307692264,-2500.0,-3200.0
