model,scenario,scenario_label,proxy_kind,day,day_label,product,product_label,P_d,drawdown,fill_count,maker_share,aggressive_fill_share,avg_fill_size,avg_position,avg_abs_position,max_abs_position,pct_time_abs_ge_60,pct_time_abs_ge_70,pct_time_at_limit,final_position,time_to_50,time_to_70,time_to_80
model_G5,uniform_depth_trade_125,Depth +25% + trades +25%,upper_bound,1,día 1,TOTAL,TOTAL,108753.5,-1686.0,1093.0,0.5187557182067704,0.48124428179322964,6.616651418115279,,,,,,,,,,
model_G1,baseline,Baseline,baseline,-1,día -1,ASH_COATED_OSMIUM,ASH,22612.0,-1120.0,750.0,0.6,0.4,5.497333333333334,18.429444166249375,21.801702553830747,61.0,0.0012018027040560841,0.0,0.0,11.0,,,
model_G1,baseline,Baseline,baseline,-1,día -1,INTARIAN_PEPPER_ROOT,PEPPER,78433.0,-1360.0,342.0,0.3304093567251462,0.6695906432748538,4.964912280701754,74.88635225793531,74.88635225793531,80.0,0.9553419445278862,0.850105136677681,0.4505857614899369,78.0,5700.0,17400.0,23100.0
model_G1,baseline,Baseline,baseline,-1,día -1,TOTAL,TOTAL,101045.0,-1523.0,1092.0,0.5155677655677655,0.48443223443223443,5.33058608058608,,,,,,,,,,
model_G1,baseline,Baseline,baseline,0,día 0,ASH_COATED_OSMIUM,ASH,22958.0,-1233.0,756.0,0.5952380952380952,0.40476190476190477,5.4563492063492065,9.513721955128204,26.17998798076923,80.0,0.04657451923076923,0.02283653846153846,0.0028044871794871795,-25.0,,,
model_G1,baseline,Baseline,baseline,0,día 0,INTARIAN_PEPPER_ROOT,PEPPER,78199.0,-1440.0,361.0,0.296398891966759,0.703601108033241,5.10803324099723,74.23291925465838,74.23291925465838,80.0,0.9698457223001402,0.7701863354037267,0.40412742937287116,80.0,2700.0,9900.0,12600.0
model_G1,baseline,Baseline,baseline,0,día 0,TOTAL,TOTAL,101157.0,-1981.0,1117.0,0.4986571172784244,0.5013428827215757,5.343777976723366,,,,,,,,,,
model_G1,baseline,Baseline,baseline,1,día 1,ASH_COATED_OSMIUM,ASH,22345.0,-1140.0,755.0,0.5933774834437087,0.4066225165562914,5.537748344370861,15.457907396271798,19.722489476849066,65.0,0.002305071156544398,0.0,0.0,39.0,,,
model_G1,baseline,Baseline,baseline,1,día 1,INTARIAN_PEPPER_ROOT,PEPPER,79121.0,-1680.0,380.0,0.3394736842105263,0.6605263157894737,5.042105263157895,73.41336137820512,73.41336137820512,80.0,0.9410056089743589,0.7682291666666666,0.3251201923076923,76.0,5100.0,23100.0,42000.0
model_G1,baseline,Baseline,baseline,1,día 1,TOTAL,TOTAL,101466.0,-1689.0,1135.0,0.5083700440528635,0.49162995594713654,5.371806167400881,,,,,,,,,,
