model,delta_key,delta_value,bid,net_gain_if_accepted,uplift_pct_vs_base,fee_roi
model_G5,Delta_conservative_min,1457.0,150,1307.0,0.012906220067345387,8.713333333333333
model_G5,Delta_conservative_min,1457.0,175,1282.0,0.012659352812805499,7.325714285714286
model_G5,Delta_conservative_min,1457.0,200,1257.0,0.01241248555826561,6.285
model_G5,Delta_conservative_min,1457.0,225,1232.0,0.012165618303725721,5.475555555555555
model_G5,Delta_central_mean,2335.5,100,2235.5,0.022074869900956858,22.355
model_G5,Delta_central_mean,2335.5,125,2210.5,0.021828002646416968,17.684
model_G5,Delta_central_mean,2335.5,150,2185.5,0.02158113539187708,14.57
model_G5,Delta_central_mean,2335.5,175,2160.5,0.02133426813733719,12.345714285714285
model_G5,Delta_central_mean,2335.5,200,2135.5,0.021087400882797303,10.6775
model_G5,Delta_central_mean,2335.5,225,2110.5,0.020840533628257413,9.38
model_G1,Delta_conservative_mean,1467.1666666666667,100,1367.1666666666667,0.013506526864865576,13.671666666666667
model_G1,Delta_conservative_mean,1467.1666666666667,125,1342.1666666666667,0.013259546610113677,10.737333333333334
model_G1,Delta_conservative_mean,1467.1666666666667,150,1317.1666666666667,0.013012566355361776,8.781111111111112
model_G1,Delta_conservative_mean,1467.1666666666667,175,1292.1666666666667,0.012765586100609877,7.383809523809524
model_G1,Delta_conservative_mean,1467.1666666666667,200,1267.1666666666667,0.012518605845857976,6.335833333333333
model_G1,Delta_conservative_mean,1467.1666666666667,225,1242.1666666666667,0.012271625591106077,5.520740740740741
model_G1,Delta_conservative_min,1230.0,100,1130.0,0.011163507514785884,11.3
model_G1,Delta_conservative_min,1230.0,125,1105.0,0.010916527260033984,8.84
model_G1,Delta_conservative_min,1230.0,150,1080.0,0.010669547005282084,7.2
model_G1,Delta_conservative_min,1230.0,175,1055.0,0.010422566750530184,6.0285714285714285
model_G1,Delta_conservative_min,1230.0,200,1030.0,0.010175586495778283,5.15
model_G1,Delta_conservative_min,1230.0,225,1005.0,0.009928606241026384,4.466666666666667
model_G1,Delta_central_mean,2285.1666666666665,100,2185.1666666666665,0.021587720800347744,21.851666666666667
model_G1,Delta_central_mean,2285.1666666666665,125,2160.1666666666665,0.021340740545595847,17.281333333333333
model_G1,Delta_central_mean,2285.1666666666665,150,2135.1666666666665,0.021093760290843946,14.234444444444444
model_G1,Delta_central_mean,2285.1666666666665,175,2110.1666666666665,0.020846780036092045,12.058095238095238
model_G1,Delta_central_mean,2285.1666666666665,200,2085.1666666666665,0.020599799781340144,10.425833333333333
model_G1,Delta_central_mean,2285.1666666666665,225,2060.1666666666665,0.020352819526588246,9.156296296296295
model_G4,Delta_conservative_mean,1610.8333333333333,100,1510.8333333333333,0.014955636286844648,15.108333333333333
model_G4,Delta_conservative_mean,1610.8333333333333,125,1485.8333333333333,0.014708162989213463,11.886666666666667
model_G4,Delta_conservative_mean,1610.8333333333333,150,1460.8333333333333,0.014460689691582278,9.738888888888889
model_G4,Delta_conservative_mean,1610.8333333333333,175,1435.8333333333333,0.014213216393951091,8.204761904761904
model_G4,Delta_conservative_mean,1610.8333333333333,200,1410.8333333333333,0.013965743096319906,7.054166666666666
model_G4,Delta_conservative_mean,1610.8333333333333,225,1385.8333333333333,0.013718269798688721,6.159259259259259
model_G4,Delta_conservative_min,1332.0,100,1232.0,0.012195484107264827,12.32
model_G4,Delta_conservative_min,1332.0,125,1207.0,0.01194801080963364,9.656
model_G4,Delta_conservative_min,1332.0,150,1182.0,0.011700537512002455,7.88
model_G4,Delta_conservative_min,1332.0,175,1157.0,0.01145306421437127,6.611428571428571
model_G4,Delta_conservative_min,1332.0,200,1132.0,0.011205590916740085,5.66
model_G4,Delta_conservative_min,1332.0,225,1107.0,0.010958117619108898,4.92
model_G4,Delta_central_mean,2455.6666666666665,100,2355.6666666666665,0.023318583924794512,23.556666666666665
model_G4,Delta_central_mean,2455.6666666666665,125,2330.6666666666665,0.023071110627163327,18.645333333333333
model_G4,Delta_central_mean,2455.6666666666665,150,2305.6666666666665,0.022823637329532142,15.37111111111111
model_G4,Delta_central_mean,2455.6666666666665,175,2280.6666666666665,0.022576164031900957,13.03238095238095
model_G4,Delta_central_mean,2455.6666666666665,200,2255.6666666666665,0.02232869073426977,11.278333333333332
model_G4,Delta_central_mean,2455.6666666666665,225,2230.6666666666665,0.022081217436638587,9.914074074074074
model_G2,Delta_conservative_mean,1723.6666666666667,100,1623.6666666666667,0.016112972745887404,16.236666666666668
model_G2,Delta_conservative_mean,1723.6666666666667,125,1598.6666666666667,0.015864877291988502,12.789333333333333
model_G2,Delta_conservative_mean,1723.6666666666667,150,1573.6666666666667,0.0156167818380896,10.491111111111111
model_G2,Delta_conservative_mean,1723.6666666666667,175,1548.6666666666667,0.015368686384190696,8.84952380952381
model_G2,Delta_conservative_mean,1723.6666666666667,200,1523.6666666666667,0.015120590930291793,7.618333333333334
model_G2,Delta_conservative_mean,1723.6666666666667,225,1498.6666666666667,0.01487249547639289,6.660740740740741
model_G2,Delta_conservative_min,1432.0,100,1332.0,0.013218525783733538,13.32
model_G2,Delta_conservative_min,1432.0,125,1307.0,0.012970430329834635,10.456
model_G2,Delta_conservative_min,1432.0,150,1282.0,0.012722334875935732,8.546666666666667
model_G2,Delta_conservative_min,1432.0,175,1257.0,0.01247423942203683,7.182857142857143
model_G2,Delta_conservative_min,1432.0,200,1232.0,0.012226143968137928,6.16
model_G2,Delta_conservative_min,1432.0,225,1207.0,0.011978048514239024,5.364444444444445
model_G2,Delta_central_mean,2666.5,100,2566.5,0.025469479297261354,25.665
model_G2,Delta_central_mean,2666.5,125,2541.5,0.025221383843362453,20.332
model_G2,Delta_central_mean,2666.5,150,2516.5,0.02497328838946355,16.776666666666667
model_G2,Delta_central_mean,2666.5,175,2491.5,0.024725192935564647,14.237142857142857
model_G2,Delta_central_mean,2666.5,200,2466.5,0.024477097481665745,12.3325
model_G2,Delta_central_mean,2666.5,225,2441.5,0.02422900202776684,10.851111111111111
model_F3,Delta_conservative_mean,1533.8333333333333,100,1433.8333333333333,0.014246184264780644,14.338333333333333
model_F3,Delta_conservative_mean,1533.8333333333333,125,1408.8333333333333,0.013997790955502822,11.270666666666665
model_F3,Delta_conservative_mean,1533.8333333333333,150,1383.8333333333333,0.013749397646225,9.225555555555555
