scenario,scenario_label,delta_key,delta_label,delta_value,bid,q_accept,net_gain_if_accepted,uplift_pct_vs_base,fee_roi,ev_uplift,ev_total
C_masa_150,Escenario C — masa en 150,central,Delta_central,1609.8333333333333,150,0.6508717794077138,1459.8333333333333,0.014187073711558118,9.732222222222221,950.1643193053608,103848.99765263867
C_masa_150,Escenario C — masa en 150,conservative,Delta_conservative,1005.1666666666666,175,0.9999841404577066,830.1666666666666,0.008067794743380636,4.7438095238095235,830.153500603306,103728.98683393662
C_masa_150,Escenario C — masa en 150,downside,Delta_downside,851.0,175,0.9999841404577066,676.0,0.006569559421632575,3.862857142857143,675.9892789494096,103574.82261228272
C_masa_150,Escenario C — masa en 150,central,Delta_central,1609.8333333333333,175,0.9999841404577066,1434.8333333333333,0.01394411663235573,8.199047619047619,1434.8105775333993,104333.64391086671
D_mixto,Escenario D — mezcla heterogénea,conservative,Delta_conservative,1005.1666666666666,100,0.007538714279659639,905.1666666666666,0.0087966659809878,9.051666666666666,6.823792875471916,102905.65712620878
D_mixto,Escenario D — mezcla heterogénea,downside,Delta_downside,851.0,100,0.007538714279659639,751.0,0.00729843065923974,7.51,5.661574424024389,102904.49490775734
D_mixto,Escenario D — mezcla heterogénea,central,Delta_central,1609.8333333333333,100,0.007538714279659639,1509.8333333333333,0.014672987869962894,15.098333333333333,11.382202109906112,102910.21553544322
D_mixto,Escenario D — mezcla heterogénea,conservative,Delta_conservative,1005.1666666666666,125,0.496266677696625,880.1666666666666,0.008553708901785412,7.041333333333333,436.7973874859794,103335.63072081929
D_mixto,Escenario D — mezcla heterogénea,downside,Delta_downside,851.0,125,0.496266677696625,726.0,0.007055473580037352,5.808,360.2896080077498,103259.12294134106
D_mixto,Escenario D — mezcla heterogénea,central,Delta_central,1609.8333333333333,125,0.496266677696625,1484.8333333333333,0.014430030790760506,11.878666666666666,736.8733052665386,103635.70663859985
D_mixto,Escenario D — mezcla heterogénea,conservative,Delta_conservative,1005.1666666666666,150,0.9916744742533872,855.1666666666666,0.008310751822583024,5.701111111111111,848.0469545656882,103746.880287899
D_mixto,Escenario D — mezcla heterogénea,downside,Delta_downside,851.0,150,0.9916744742533872,701.0,0.006812516500834964,4.673333333333333,695.1638064516244,103593.99713978494
D_mixto,Escenario D — mezcla heterogénea,central,Delta_central,1609.8333333333333,150,0.9916744742533872,1459.8333333333333,0.014187073711558118,9.732222222222221,1447.679453330903,104346.51278666421
D_mixto,Escenario D — mezcla heterogénea,conservative,Delta_conservative,1005.1666666666666,175,1.0,830.1666666666666,0.008067794743380636,4.7438095238095235,830.1666666666666,103728.99999999999
D_mixto,Escenario D — mezcla heterogénea,downside,Delta_downside,851.0,175,1.0,676.0,0.006569559421632575,3.862857142857143,676.0,103574.83333333331
D_mixto,Escenario D — mezcla heterogénea,central,Delta_central,1609.8333333333333,175,1.0,1434.8333333333333,0.01394411663235573,8.199047619047619,1434.8333333333333,104333.66666666664
E_cola_superior,Escenario E — cola superior agresiva,conservative,Delta_conservative,1005.1666666666666,100,0.0,905.1666666666666,0.0087966659809878,9.051666666666666,0.0,102898.83333333331
E_cola_superior,Escenario E — cola superior agresiva,downside,Delta_downside,851.0,100,0.0,751.0,0.00729843065923974,7.51,0.0,102898.83333333331
E_cola_superior,Escenario E — cola superior agresiva,central,Delta_central,1609.8333333333333,100,0.0,1509.8333333333333,0.014672987869962894,15.098333333333333,0.0,102898.83333333331
E_cola_superior,Escenario E — cola superior agresiva,conservative,Delta_conservative,1005.1666666666666,125,0.0005884768738180664,880.1666666666666,0.008553708901785412,7.041333333333333,0.5179577284388681,102899.35129106176
E_cola_superior,Escenario E — cola superior agresiva,downside,Delta_downside,851.0,125,0.0005884768738180664,726.0,0.007055473580037352,5.808,0.4272342103919162,102899.26056754371
E_cola_superior,Escenario E — cola superior agresiva,central,Delta_central,1609.8333333333333,125,0.0005884768738180664,1484.8333333333333,0.014430030790760506,11.878666666666666,0.8737900781408589,102899.70712341146
E_cola_superior,Escenario E — cola superior agresiva,conservative,Delta_conservative,1005.1666666666666,150,0.45592659344010406,855.1666666666666,0.008310751822583024,5.701111111111111,389.8932251568623,103288.72655849018
E_cola_superior,Escenario E — cola superior agresiva,downside,Delta_downside,851.0,150,0.45592659344010406,701.0,0.006812516500834964,4.673333333333333,319.6045420015129,103218.43787533483
E_cola_superior,Escenario E — cola superior agresiva,central,Delta_central,1609.8333333333333,150,0.45592659344010406,1459.8333333333333,0.014187073711558118,9.732222222222221,665.5768386569786,103564.4101719903
