day,timestamp,global_ts,equity_total,pnl_total,pnl_TOMATOES,pnl_EMERALDS
-1,620500,1620401,27608.0,27608.0,14232.0,13376.0
-1,620600,1620501,27608.5,27608.5,14232.5,13376.0
-1,620700,1620601,27608.5,27608.5,14232.5,13376.0
-1,620800,1620701,27608.0,27608.0,14232.0,13376.0
-1,620900,1620801,27608.0,27608.0,14232.0,13376.0
-1,621000,1620901,27620.5,27620.5,14244.5,13376.0
-1,621100,1621001,27619.0,27619.0,14243.0,13376.0
-1,621200,1621101,27610.0,27610.0,14234.0,13376.0
-1,621300,1621201,27610.0,27610.0,14234.0,13376.0
-1,621400,1621301,27619.0,27619.0,14243.0,13376.0
-1,621500,1621401,27617.5,27617.5,14241.5,13376.0
-1,621600,1621501,27617.5,27617.5,14241.5,13376.0
-1,621700,1621601,27620.5,27620.5,14244.5,13376.0
-1,621800,1621701,27620.5,27620.5,14244.5,13376.0
-1,621900,1621801,27622.0,27622.0,14246.0,13376.0
-1,622000,1621901,27628.0,27628.0,14252.0,13376.0
-1,622100,1622001,27620.5,27620.5,14244.5,13376.0
-1,622200,1622101,27617.5,27617.5,14241.5,13376.0
-1,622300,1622201,27619.0,27619.0,14243.0,13376.0
-1,622400,1622301,27617.5,27617.5,14241.5,13376.0
-1,622500,1622401,27617.5,27617.5,14241.5,13376.0
-1,622600,1622501,27617.5,27617.5,14241.5,13376.0
-1,622700,1622601,27614.5,27614.5,14238.5,13376.0
-1,622800,1622701,27608.0,27608.0,14240.0,13368.0
-1,622900,1622801,27605.5,27605.5,14229.5,13376.0
-1,623000,1622901,27619.0,27619.0,14243.0,13376.0
-1,623100,1623001,27620.5,27620.5,14244.5,13376.0
-1,623200,1623101,27619.0,27619.0,14243.0,13376.0
-1,623300,1623201,27617.5,27617.5,14241.5,13376.0
-1,623400,1623301,27617.5,27617.5,14241.5,13376.0
-1,623500,1623401,27617.5,27617.5,14241.5,13376.0
-1,623600,1623501,27620.5,27620.5,14244.5,13376.0
-1,623700,1623601,27619.0,27619.0,14243.0,13376.0
-1,623800,1623701,27617.5,27617.5,14241.5,13376.0
-1,623900,1623801,27616.0,27616.0,14240.0,13376.0
